discardDuplicatesBeforeUselessCards	waitForGoldenGun	chooseScrapOverUnknownShelf	maxConsecUselessUnknownShelfDraws	wins
0.954	0.596	0.803	7	435
0.669	0.665	0.632	1	501
0.573	0.007	0.054	2	647
0.739	0.604	0.097	6	597
0.42	0.694	0.632	7	493
0.276	0.386	0.544	1	610
0.902	0.166	0.647	10	541
0.254	0.593	0.987	1	238
0.37	0.336	0.86	3	414
0.571	0.406	0.682	7	519
0.544	0.327	0.239	9	633
0.697	0.877	0.041	9	463
0.723	0.652	0.498	3	557
0.966	0.799	0.502	9	505
0.177	0.545	0.226	3	594
0.297	0.803	0.682	9	418
0.533	0.924	0.642	7	314
0.833	0.287	0.273	4	606
0.451	0.833	0.799	6	348
0.101	0.133	0.593	3	614
0.575	0.738	0.711	5	471
0.605	0.141	0.594	8	605
0.911	0.054	0.67	8	581
0.834	0.425	0.336	2	588
0.118	0.488	0.578	7	570
0.293	0.782	0.237	6	552
0.273	0.042	0.714	8	566
0.997	0.044	0.03	8	636
0.991	0.809	0.849	1	337
0.207	0.431	0.987	9	248
0.611	0.586	0.828	5	442
0.782	0.892	0.357	4	412
0.409	0.03	0.944	3	356
0.973	0.245	0.475	4	608
0.439	0.248	0.195	4	645
0.992	0.851	0.335	3	484
0.033	0.342	0.074	4	646
0.504	0.378	0.762	7	474
0.445	0.25	0.117	4	623
0.181	0.532	0.109	2	618
0.372	0.989	0.042	7	157
0.776	0.283	0.307	4	615
0.34	0.758	0.385	5	523
0.363	0.387	0.862	3	399
0.65	0.006	0.614	1	580
0.561	0.591	0.937	3	331
0.499	0.257	0.988	9	257
0.392	0.743	0.185	8	552
0.999	0.832	0.108	1	493
0.755	0.349	0.402	4	608
0.873	0.384	0.771	8	501
0.027	0.69	0.579	4	525
0.817	0.708	0.781	3	437
0.281	0.63	0.615	7	545
0.693	0.992	0.114	3	130
0.826	0.503	0.598	9	574
0.164	0.243	0.608	5	559
0.54	0.253	0.026	10	632
0.577	0.678	0.954	3	272
0.798	0.802	0.695	4	422
0.384	0.601	0.269	8	603
0.013	0.844	0.961	10	226
0.356	0.813	0.741	4	411
0.757	0.804	0.298	1	484
0.999	0.736	0.582	5	480
0.248	0.024	0.631	7	600
0.8	0.919	0.408	1	356
0.002	0.899	0.957	2	201
0.331	0.216	0.775	2	495
0.379	0.266	0.88	1	419
0.018	0.151	0.048	3	650
0.231	0.338	0.529	6	606
0.905	0.81	0.509	6	477
0.669	0.711	0.252	6	558
0.852	0.747	0.932	2	281
0.006	0.063	0.794	7	503
0.309	0.092	0.558	7	626
0.692	0.119	0.27	1	597
0.633	0.444	0.34	7	628
0.96	0.675	0.531	8	529
0.812	0.193	0.842	6	441
0.672	0.383	0.905	5	372
